"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.url","Input.Reference","Input.A","Input.B","Answer.choice","Approve","Reject"
"3L84EBDQ37G52UWOEA508M0SMNVKK2","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Wed Aug 01 14:09:39 PDT 2018","1","BatchId:3325307;OriginalHitTemplateId:920937336;","300","345600","Wed Aug 08 14:09:39 PDT 2018","","","3N8OEVH1FS4A4W0C0WUOA4UVLRLOOC","A2NJ7N8INZOB00","Submitted","Wed Aug 01 14:13:53 PDT 2018","Wed Aug 01 14:14:19 PDT 2018","Sun Aug 05 14:14:19 PDT 2018","","","","26","0% (0/0)","0% (0/0)","0% (0/0)","https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/","137.png","95.png","143.png","optionB",,
"375VMB7D4JX6IT0QMQY1RTQPAAADI8","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Wed Aug 01 14:09:55 PDT 2018","1","BatchId:3325307;OriginalHitTemplateId:920937336;","300","345600","Wed Aug 08 14:09:55 PDT 2018","","","36PW28KO40AZQ1TMWZMA4XGCS8BAEV","A9JHTV37LSE5F","Submitted","Wed Aug 01 14:12:34 PDT 2018","Wed Aug 01 14:12:39 PDT 2018","Sun Aug 05 14:12:39 PDT 2018","","","","5","0% (0/0)","0% (0/0)","0% (0/0)","https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/","9.png","21.png","112.png","optionA",,
"3V7ICJJAZAUJVP3RN55R22S627XB4K","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Wed Aug 01 14:09:57 PDT 2018","1","BatchId:3325307;OriginalHitTemplateId:920937336;","300","345600","Wed Aug 08 14:09:57 PDT 2018","","","3WETL7AQWUMZAX18CJEXDVWT95K53T","AOO39X8E3OJYY","Submitted","Wed Aug 01 14:12:28 PDT 2018","Wed Aug 01 14:12:33 PDT 2018","Sun Aug 05 14:12:33 PDT 2018","","","","5","0% (0/0)","0% (0/0)","0% (0/0)","https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/","32.png","127.png","131.png","optionB",,
"335HHSX8CDJ6MYP6G8GGRHPAAXVDHF","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Wed Aug 01 14:09:55 PDT 2018","1","BatchId:3325307;OriginalHitTemplateId:920937336;","300","345600","Wed Aug 08 14:09:55 PDT 2018","","","3NKQQ8O39ZJED4TK69SHYGALZZ2DUH","A3HAPMZV7CYDY8","Submitted","Wed Aug 01 14:13:17 PDT 2018","Wed Aug 01 14:14:57 PDT 2018","Sun Aug 05 14:14:57 PDT 2018","","","","100","100% (380/380)","0% (0/0)","0% (0/0)","https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/","150.png","134.png","164.png","optionA",,
"3IVKZBIBJ0NCON8ODYB5MGBAB04HSC","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Wed Aug 01 14:09:39 PDT 2018","1","BatchId:3325307;OriginalHitTemplateId:920937336;","300","345600","Wed Aug 08 14:09:39 PDT 2018","","","3A1PQ49WVIVFGN7OQH1NEZKMGUY1HF","A26T17CDTYJI1W","Submitted","Wed Aug 01 14:14:04 PDT 2018","Wed Aug 01 14:14:19 PDT 2018","Sun Aug 05 14:14:19 PDT 2018","","","","15","0% (0/0)","0% (0/0)","0% (0/0)","https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/","75.png","36.png","167.png","optionA",,
"3MYASTQBG7PJZRO9ZY3A0VHB1KRDQB","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Wed Aug 01 14:09:58 PDT 2018","1","BatchId:3325307;OriginalHitTemplateId:920937336;","300","345600","Wed Aug 08 14:09:58 PDT 2018","","","3NAPMVF0ZXTPCJJ8WCFPS55XUXF72Z","A12B5MV7IHN855","Submitted","Wed Aug 01 14:11:45 PDT 2018","Wed Aug 01 14:11:51 PDT 2018","Sun Aug 05 14:11:51 PDT 2018","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/","5.png","90.png","121.png","optionA",,
"308KJXFUJRKYT0DPWS63FZKS0OTATK","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Wed Aug 01 14:09:55 PDT 2018","1","BatchId:3325307;OriginalHitTemplateId:920937336;","300","345600","Wed Aug 08 14:09:55 PDT 2018","","","3ZAZR5XV02WLUBHGC0WEV27IGH5CZ5","A2541C8MY0BYV3","Submitted","Wed Aug 01 14:12:39 PDT 2018","Wed Aug 01 14:12:40 PDT 2018","Sun Aug 05 14:12:40 PDT 2018","","","","1","100% (83/83)","0% (0/0)","0% (0/0)","https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/","153.png","134.png","143.png","optionA",,
"3G3AJKPCXL6F8XW2XXJBADQ7NGEY4L","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Wed Aug 01 14:09:39 PDT 2018","1","BatchId:3325307;OriginalHitTemplateId:920937336;","300","345600","Wed Aug 08 14:09:39 PDT 2018","","","37TD41K0AINOTZV2H826Z9AFT24SCF","A2MCG5W6LHSRG9","Submitted","Wed Aug 01 14:12:53 PDT 2018","Wed Aug 01 14:13:55 PDT 2018","Sun Aug 05 14:13:55 PDT 2018","","","","62","100% (383/383)","0% (0/0)","0% (0/0)","https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/","28.png","24.png","90.png","optionA",,
"3NRZ1LDP7WK12GSQR3DIRIA4K6EPZU","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Wed Aug 01 14:09:39 PDT 2018","1","BatchId:3325307;OriginalHitTemplateId:920937336;","300","345600","Wed Aug 08 14:09:39 PDT 2018","","","3K2755HG5THPUMWUBKXICG9IPCNDFI","A12B5MV7IHN855","Submitted","Wed Aug 01 14:12:58 PDT 2018","Wed Aug 01 14:13:02 PDT 2018","Sun Aug 05 14:13:02 PDT 2018","","","","4","0% (0/0)","0% (0/0)","0% (0/0)","https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/","153.png","33.png","160.png","optionA",,
"3421H3BM9AVQAE7FSSEZHYMZW4KJ99","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Wed Aug 01 14:09:57 PDT 2018","1","BatchId:3325307;OriginalHitTemplateId:920937336;","300","345600","Wed Aug 08 14:09:57 PDT 2018","","","3VP0C6EFSHAWFN9WNKTH10JZ5RC6MQ","A2MCG5W6LHSRG9","Submitted","Wed Aug 01 14:11:18 PDT 2018","Wed Aug 01 14:12:30 PDT 2018","Sun Aug 05 14:12:30 PDT 2018","","","","72","100% (383/383)","0% (0/0)","0% (0/0)","https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/","86.png","3.png","28.png","optionA",,
